"Adrian Anghel","1958-08-10",1
"Ionel Agrigoroaiei","1968-04-14",1
"Ben-Oni Ardelean","1975-09-01",1
"Leonardo Badea","1975-02-23",1
"Daniel-Constantin Barbu","1957-05-21",1
"Neculai Bereanu","1963-05-03",1
"Biró Rozalia Ibolya","1965-05-13",1
"Cătălin Boboc","1976-05-18",1
"Cristian Petru Bodea","1974-01-08",1
"Florian Dorel Bodog","1971-09-06",1
"Andrei-Liviu Volosevici","1976-03-26",1
"Dumitru Marcel Bujor","1954-10-21",1
"Marin Burlea","1949-01-08",1
"Florinel Butnaru","1959-04-07",1
"Ionel Daniel Butunoi","1975-01-02",1
"Leonard Cadăr","1965-07-01",1
"Viorel Chiriac","1962-10-09",1
"Marius Coste","1964-04-30",1
"Marin-Adrănel Cotescu","1953-07-09",1
"Iulian Cristache","1954-09-10",1
"Ioan Cristina","1975-09-09",1
"Ioan Deneș","1968-04-13",1
"Mărinică Dincă","1976-08-04",1
"Dorin-Mircea Dobra","1975-07-14",1
"Ovidiu Liviu Donțu","1969-03-26",1
"Florinel Dumitrescu","1967-12-11",1
"Aurel Duruț","1951-06-22",1
"Petru Ehegartner","1957-08-05",1
"Doina Elena Federovici","1974-05-30",1
"Mihai-Viorel Fifor","1970-05-10",1
"Daniel Cristian Florian","1977-08-29",1
"Petru Alexandru Frătean","1953-09-09",1
"Sebastian Grapă","1972-04-24",1
"Viorel Grigoraș","1958-10-05",1
"Lucian Iliescu","1946-07-24",1
"Dan Aurel Ioniță","1968-09-25",1
"Klarik Laszlo Attila","1968-05-29",1
"Laszlo Attila","1964-09-20",1
"Nicolae Marin","1973-06-27",1
"Cristian Dănuț Mihai","1959-02-27",1
"Neagu Mihai","1955-12-02",1
"Vasilica Steliana Miron","1977-02-18",1
"Augustin Constantin Mitu","1970-01-28",1
"Nicolae Mohanu","1946-11-02",1
"Akos-Daniel Mora","1972-07-09",1
"Octavian Motoc","1963-02-11",1
"Nicolae Nasta","1963-10-12",1
"Marius Neculoiu","1965-09-21",1
"Remus-Daniel Nițu","1970-06-08",1
"Marius Lucian Obreja","1960-08-16",1
"Stefan Radu Oprea","1970-06-14",1
"Emil Marius Pașcan","1971-11-30",1
"Pataki Csaba","1973-07-19",1
"Marian Pavel","1975-03-09",1
"Ion Popa","1967-09-04",1
"Ion Simeon Purec","1950-03-15",1
"Sorin Ștefan Roșca-Stănescu","1949-09-08",1
"Matei Suciu","1968-07-12",1
"Tanczos Barna","1976-05-25",1
"Dan Tătaru","1969-05-09",1
"Nelu Tătaru","1972-09-30",1
"Ștefan-Liviu Tomoiagă","1966-04-07",1
"Doina-Anca Tudor","1960-03-15",1
"Nazare Eugen Țapu","1962-12-24",1
"Marian Vasiliev","1970-02-20",1
"Vegh Alexandru","1964-10-30",1
"Haralambie Vochițoiu","1970-03-02",1
"Ionuț-Elie Zisu","1964-07-20",1
"Alfred-Laurentiu-Antonio Mihai","1981-05-18",1
"Mihnea Cosmin Costoiu","1972-03-02",1
"Luminița-Pachel Adam","1966-02-22",2
"Constantin Adăscăliței","1967-09-18",2
"Costel Alexe","1983-08-20",2
"Florin-Alexandru Alexe","1979-08-30",2
"Varol Amet","1972-12-09",2
"Gabriela-Lola Anghel","1973-04-16",2
"Roxana-Florentina Anușca","1976-04-14",2
"Ioan Axente","1956-11-04",2
"Radu Babuș","1978-11-18",2
"Ștefan-Alexandru Băișanu","1968-01-03",2
"Ioan Benga","1954-09-03",2
"Viorel-Ionel Blăjuț","1973-05-13",2
"Valentin Blănariu","1967-05-26",2
"Valentin Gabriel Boboc","1966-03-24",2
"Gheorghe-Dănuț Bogdan","1968-07-21",2
"Camelia-Margareta Bogdănici","1959-04-12",2
"Simona Bucura-Oprescu","1980-04-02",2
"Corneliu-Florin Buicu","1970-11-22",2
"Ștefan Burlacu","1967-07-29",2
"Florică Ică Calotă","1964-04-25",2
"Dorel-Gheorghe Căprar","1974-08-06",2
"Steluța-Gustica Cătăniciuchestor Al Camerei Deputaților","1963-02-19",2
"Remus-Florinel Cernea","1974-06-25",2
"Florica Cherecheș","1960-01-31",2
"Ioan-Cristian Chirteș","1972-02-09",2
"Cezar Cioată","1976-10-12",2
"Liliana Ciobanu","1969-04-17",2
"Dan Ciocan","1960-02-15",2
"Tamara-Dorina Ciofu","1957-12-30",2
"Ion-Marcel Ciolacusecretar Al Camerei Deputaților","1967-11-28",2
"Lucian-Manuel Ciubotaru","1969-06-17",2
"Florin Ciurariu","1971-04-03",2
"Erland Cocei","1970-03-13",2
"Cornel-George Comșa","1977-05-05",2
"Andrei-Răzvan Condurățeanu","1970-07-11",2
"Corneliu-Mugurel Cozmanciuc","1978-05-09",2
"Ion Cupă","1968-08-17",2
"Ioan Cupșa","1965-09-25",2
"Ștefan-Petru Dalca","1969-09-11",2
"Adrian-Nicolae Diaconu","1966-11-26",2
"Mihai-Bogdan Diaconu","1979-10-09",2
"Toader Dima","1951-02-25",2
"Ioan Dîrzu","1967-02-01",2
"Mircea-Titus Dobre","1978-12-20",2
"Traian Dobrinescu","1949-05-23",2
"Nechita-Stelian Dolha","1970-04-19",2
"Nicolae-Liviu Dragnea","1962-10-28",2
"Maria Dragomir","1957-09-02",2
"Viorel Marian Dragomir","1975-06-16",2
"Vasile-Cătălin Drăgușanu","1979-06-05",2
"Paul Dumbrăvanu","1979-10-02",2
"Ioana-Jenica Dumitru","1970-08-01",2
"Ovidiu-Ioan Dumitru","1980-10-29",2
"Gheorghe Emacu","1958-10-13",2
"Constantin-Cosmin Enea","1979-10-14",2
"Ion Eparu","1952-06-06",2
"Fejér László-Ődőn","1961-11-11",2
"Nuțu Fonta","1963-08-27",2
"Gheorghe Frăticiu","1958-12-06",2
"Constantin Galan","1956-12-17",2
"Florin Gheorghe","1978-12-15",2
"Giureci-Slobodan Ghera","1979-04-15",2
"Maria Grecea","1974-02-27",2
"Sorin Mihai Grindeanu","1973-12-05",2
"Vasile Gudu","1954-03-04",2
"Dragoș-Ionel Gunia","1977-07-19",2
"Virgil Guran","1965-05-12",2
"Liviu Harbuz","1962-06-18",2
"Eleonora-Carmen Hărău","1960-11-04",2
"Ioan Hulea","1957-08-13",2
"Sorin-Avram Iacoban","1969-10-15",2
"Daniel Iane","1967-06-20",2
"Vasile Iliuță","1968-05-04",2
"Aurelian Ionescu","1977-10-17",2
"Vicențiu-Mircea Irimie","1967-06-21",2
"Raluca-Cristina Ispir","1978-12-22",2
"Kereskényi Gábor","1980-01-29",2
"Camelia Khraibani","1961-09-23",2
"Liviu Laza-Matiuța","1964-06-10",2
"Victor-Gheorghe Manea","1967-09-01",2
"Vlad Marcoci","1968-02-01",2
"Nicu Marcu","1968-11-21",2
"Viorica Marcu","1955-08-20",2
"Ion Cristinel Marian","1968-12-02",2
"Markó Attila-Gabor","1968-09-27",2
"Ion Marocico","1974-12-20",2
"Flavius-Luigi Măduța","1971-02-24",2
"Ion Melinte","1959-06-22",2
"Ioan Mihăilă","1976-05-11",2
"Ion-Bogdan Mihăilescu","1978-04-03",2
"Lucian Militaru","1962-03-04",2
"Liliana Mincă","1969-05-11",2
"Răzvan Horia Mironescu","1967-11-13",2
"Niculina Mocioi","1979-05-10",2
"Constantin Moisii","1952-11-30",2
"Moldovan Iosif","1976-04-21",2
"Molnar Zsolt","1983-08-23",2
"Constantin-Stelian-Emil Moț","1981-04-23",2
"Neagu Murgu","1962-08-01",2
"Cosmin Necula","1978-08-13",2
"Cornelia Negruț","1961-05-10",2
"Florian Nicolae","1960-12-14",2
"Theodor-Cătălin Nicolescu","1975-02-03",2
"Dumitru Niculescu","1962-10-22",2
"Gheorghe-Vlad Nistor","1954-07-25",2
"Marioara Nistor","1955-01-13",2
"Emil Niță","1956-01-15",2
"Ion Ochi","1964-03-02",2
"Nechita-Adrian Oros","1965-07-09",2
"Maria-Andreea Paul","1978-09-10",2
"Ninel Peia","1969-10-07",2
"Dorin Silviu Petrea","1978-02-02",2
"Octavian Petric","1961-10-01",2
"Eusebiu-Manea Pistru-Popa","1966-05-25",2
"Gabriela-Maria Podașcă","1985-05-03",2
"Radu Mihai Popa","1976-11-16",2
"Dan-Cristian Popescu","1975-12-31",2
"Dumitru-Iulian Popescu","1962-06-19",2
"Iacob Pușcaș","1977-01-18",2
"Romeo Rădulescu","1972-11-29",2
"Cristian-Constantin Roman","1965-07-02",2
"Răzvan Rotaru","1977-07-03",2
"Ionuț-Cristian Săvoiu","1968-10-08",2
"Cristian-George Sefer","1970-03-17",2
"Miron Alexandru Smarandache","1960-03-17",2
"Ionel Stancu","1978-10-15",2
"Vasile-Daniel Suciu","1980-11-07",2
"Raluca Surdu","1978-04-05",2
"Iulian-Radu Surugiu","1984-07-10",2
"Szabó Ödön","1975-07-04",2
"Ion Șcheau","1974-02-27",2
"Gheorghe Șimon","1961-01-01",2
"Costel Șoptică","1967-02-18",2
"Lucian Șova","1960-05-31",2
"Ioan Tămâian","1954-06-23",2
"Răzvan-Ionuț Tănase","1979-03-07",2
"Claudiu-Andrei Tănăsescu","1970-02-11",2
"Sorin Teju","1965-04-04",2
"Cătălin-Florin Teodorescu","1965-04-07",2
"Ioan Viorel Teodorescu","1958-04-08",2
"Cătălin Tiuch","1978-11-01",2
"Dan-Laurențiu Tocuț","1959-10-01",2
"Laurențiu Țigăeru Roșca","1970-02-27",2
"Gheorghe Udriște","1947-10-06",2
"Ionaș-Florin Urcan","1974-12-19",2
"Sergiu-Constantin Vizitiu","1977-06-03",2
"Mihai Weber","1964-11-18",2
"Neviser Zaharcu","1952-01-21",2
"Radu Zlati","1960-05-28",2
"Laura Marin","1969-08-20",2
"Petru-Sorin Marica","1963-08-23",2
"Andrei Daniel Gheorghe","1985-07-27",2
"Florică Bîrsășteanu","1959-05-20",2
