"nume","data","partid_vechi","partid_nou"
"Luminița-Pachel Adam","2014-06-18","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Roberta Alma Anastase","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Gabriel Andronache","2013-05-21","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Marin Anton","2014-03-03","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Marin Anton","2015-03-09","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Sanda-Maria Ardeleanu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Marian Avram","2015-06-24","Grupul parlamentar al Partidului Social Democrat","Grupul parlamentar al Partidului Național Liberal"
"Ioan Balan","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Viorel-Ionel Blăjuț","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Viorel-Ionel Blăjuț","2014-12-03","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Valentin Blănariu","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Valentin Blănariu","2015-06-29","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Lucian Nicolae Bode","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Camelia-Margareta Bogdănici","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Camelia-Margareta Bogdănici","2015-02-09","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Claudia Boghicevici","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Dan Bordeianu","2014-11-18","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Octavian Bot","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin-Alin Bucur","2013-04-15","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Constantin-Alin Bucur","2013-10-07","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Mario-Ernest Caloianu","2014-06-11","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Florică Ică Calotă","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Costică Canacheu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Steluța-Gustica Cătăniciu","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Remus-Florinel Cernea","2013-05-21","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Eugen Chebac","2013-09-30","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Dumitru Chiriță","2015-02-02","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Daniel Chițoiu","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Daniel Chițoiu","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cezar Cioată","2013-02-04","Grupul parlamentar Democrat şi Popular","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cezar Cioată","2013-02-11","Grupul parlamentar Liberal Conservator (PC-PLR)","Grupul parlamentar Democrat şi Popular"
"Cezar Cioată","2013-05-07","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Cezar Cioată","2013-05-14","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Liliana Ciobanu","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Tudor Ciuhodaru","2015-04-29","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Liviu Codîrlă","2013-12-17","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Coman","2013-03-26","Grupul parlamentar Democrat şi Popular","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cornel-George Comşa","2014-03-31","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Andrei-Răzvan Condurățeanu","2013-12-17","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Andrei-Răzvan Condurățeanu","2015-04-01","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Dănuț Culețu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ion Cupă","2013-04-09","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ion Cupă","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Ion Cupă","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Constantin Dascălu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Adrian-Nicolae Diaconu","2014-05-27","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Adrian-Nicolae Diaconu","2014-06-01","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Mihai-Bogdan Diaconu","2014-10-13","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Maria Dragomir","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Paul Dumbrăvanu","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Paul Dumbrăvanu","2015-02-02","Grupul parlamentar Liberal Conservator (PC-PLR)","Deputați neafiliați"
"Ioana-Jenica Dumitru","2014-06-27","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Ovidiu-Ioan Dumitru","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Ovidiu-Ioan Dumitru","2015-02-02","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Constantin-Cosmin Enea","2014-03-31","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Nuțu Fonta","2014-02-24","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Constantin Galan","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Grațiela Leocadia Gavrilescu","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Grațiela Leocadia Gavrilescu","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Florian Daniel Geantă","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Florian Daniel Geantă","2015-03-06","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Florian Daniel Geantă","2015-04-20","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Andrei Dominic Gerea","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Andrei Dominic Gerea","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Florin Gheorghe","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Florin Gheorghe","2014-09-09","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Tinel Gheorghe","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Maria Grecea","2013-09-24","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Național Liberal"
"Vasile Gudu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Dragoş-Ionel Gunia","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Dragoş-Ionel Gunia","2015-02-02","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Virgil Guran","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Virgil Guran","2015-02-23","Grupul parlamentar Liberal Conservator (PC-PLR)","Deputați neafiliați"
"Virgil Guran","2015-06-26","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Adrian Gurzău","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Adrian Gurzău","2015-03-04","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Adrian Gurzău","2015-06-03","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Florentin Gust Băloşin","2015-02-02","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Titi Holban","2014-03-03","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Ioan Hulea","2013-12-17","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Monica Maria Iacob Ridzi","2014-10-14","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Gheorghe Ialomițianu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Vasile Iliuță","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"George Ionescu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Vicențiu-Mircea Irimie","2013-01-22","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Scarlat Iriza","2015-02-02","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Liviu Laza-Matiuța","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Mircea Lubanovici","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Mircea Man","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Nicu Marcu","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Nicu Marcu","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Ion Cristinel Marian","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Ion Cristinel Marian","2013-12-02","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Ion Melinte","2013-09-18","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Aurelian Mihai","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Aurelian Mihai","2015-02-02","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Ioan Mihăilă","2014-03-24","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Social Democrat"
"Lucian Militaru","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Niculina Mocioi","2014-06-23","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Niculina Mocioi","2014-09-08","Deputați neafiliați","Grupul parlamentar al Partidului Democrat Liberal"
"Niculina Mocioi","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Constantin Moisii","2014-03-03","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Ioan Moldovan","2013-01-22","Grupul parlamentar Democrat şi Popular","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Petru Movilă","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Petru Movilă","2015-03-04","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Petru Movilă","2015-06-03","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Mircia Muntean","2014-06-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Social Democrat"
"Neagu Murgu","2013-12-20","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Alexandru Nazare","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Clement Negruț","2013-09-02","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Clement Negruț","2015-03-04","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Clement Negruț","2015-06-03","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Gheorghe Nețoiu","2013-06-21","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Romeo Florin Nicoară","2013-02-11","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Național Liberal"
"Alexandri Nicolae","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Alexandri Nicolae","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Alexandri Nicolae","2015-02-02","Grupul parlamentar Liberal Conservator (PC-PLR)","Grupul parlamentar al Partidului Național Liberal"
"Aurel Niculae","2014-04-07","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Aurel Niculae","2014-08-01","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Dumitru Niculescu","2014-12-09","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Dumitru Niculescu","2015-05-25","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Marioara Nistor","2014-05-28","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Ioan Oltean","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Viorel Palaşcă","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Viorel Palaşcă","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Theodor Paleologu","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Theodor Paleologu","2015-02-02","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Ion Pârgaru","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Ion Pârgaru","2015-03-18","Grupul parlamentar Liberal Conservator (PC-PLR)","Deputați neafiliați"
"Ion Pârgaru","2015-03-30","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Maria-Andreea Paul","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Petre Petrescu","2015-02-02","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Eusebiu-Manea Pistru-Popa","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Radu Mihai Popa","2013-05-14","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Radu Mihai Popa","2013-09-18","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Radu Mihai Popa","2015-02-02","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Radu Mihai Popa","2015-06-17","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Dan-Cristian Popescu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Florin Aurelian Popescu","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Alin Augustin Florin Popoviciu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Călin Potor","2014-03-18","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Cezar-Florin Preda","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Iacob Puşcaş","2013-05-28","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Iacob Puşcaş","2013-12-17","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Romeo Rădulescu","2014-09-22","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Romeo Rădulescu","2015-03-31","Grupul parlamentar Liberal Conservator (PC-PLR)","Deputați neafiliați"
"Ovidiu Alexandru Raețchi","2014-09-30","Grupul parlamentar Liberal Conservator (PC-PLR)","Grupul parlamentar al Partidului Național Liberal"
"Cristian-Constantin Roman","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Gheorghe Roman","2015-06-16","Grupul parlamentar al Partidului Social Democrat","Grupul parlamentar al Partidului Național Liberal"
"Răzvan Rotaru","2013-06-17","Grupul parlamentar Democrat şi Popular","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Răzvan Rotaru","2014-06-23","Grupul parlamentar Liberal Conservator (PC-PLR)","Deputați neafiliați"
"Răzvan Rotaru","2015-04-28","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Cornel-Mircea Sămărtinean","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ion Şcheau","2013-05-21","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Ion Şcheau","2013-10-21","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Ion Şcheau","2014-09-30","Grupul parlamentar al Partidului Social Democrat","Grupul parlamentar al Partidului Democrat Liberal"
"Ion Şcheau","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Valeria-Diana Schelean","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Florin Mihail Secară","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Florin Mihail Secară","2014-08-20","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Florin Mihail Secară","2015-03-04","Grupul parlamentar al Partidului Social Democrat","Grupul parlamentar al Partidului Național Liberal"
"Cristian-George Sefer","2014-09-06","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Ovidiu Ioan Silaghi","2014-09-01","Grupul parlamentar al Partidului Social Democrat","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Miron Alexandru Smarandache","2013-10-21","Grupul parlamentar Democrat şi Popular","Grupul parlamentar al Partidului Social Democrat"
"Mihai Stănişoară","2013-03-11","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Mihai Stănişoară","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Mihai Stănişoară","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Mihaela Stoica","2013-04-22","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Radu Stroe","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Radu Stroe","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Radu Stroe","2015-01-13","Grupul parlamentar Liberal Conservator (PC-PLR)","Grupul parlamentar al Partidului Social Democrat"
"Gheorghe-Mirel Taloş","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Gheorghe-Mirel Taloş","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Răzvan-Ionuț Tănase","2013-06-17","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Răzvan-Ionuț Tănase","2013-10-07","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Răzvan-Ionuț Tănase","2014-11-19","Grupul parlamentar al Partidului Social Democrat","Deputați neafiliați"
"Mihai Tararache","2013-04-22","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Mihai Tararache","2015-03-04","Deputați neafiliați","Grupul parlamentar al Partidului Național Liberal"
"Sorin Teju","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Sorin Teju","2014-09-01","Deputați neafiliați","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Cătălin-Florin Teodorescu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ioan Viorel Teodorescu","2014-07-02","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Ioan Viorel Teodorescu","2014-07-23","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
"Laurențiu Ţigăeru Roşca","2014-08-11","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar al Partidului Social Democrat"
"Mircea-Nicu Toader","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Dan-Laurențiu Tocuț","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Eugen Tomac","2013-09-02","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Eugen Tomac","2015-03-04","Deputați neafiliați","Grupul parlamentar Democrat şi Popular"
"Eugen Tomac","2015-06-03","Grupul parlamentar Democrat şi Popular","Deputați neafiliați"
"Raluca Turcan","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Adriana Diana Tuşa","2013-06-04","Grupul parlamentar al Partidului Național Liberal","Deputați neafiliați"
"Adriana Diana Tuşa","2014-06-17","Deputați neafiliați","Grupul parlamentar al Partidului Democrat Liberal"
"Adriana Diana Tuşa","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Elena Gabriela Udrea","2014-02-03","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Gheorghe Udrişte","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Ionaş-Florin Urcan","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Dorinel Ursărescu","2014-09-01","Grupul parlamentar al Partidului Național Liberal","Grupul parlamentar Liberal Conservator (PC-PLR)"
"Sergiu-Constantin Vizitiu","2013-05-28","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Social Democrat"
"Iulian Vladu","2015-02-02","Grupul parlamentar al Partidului Democrat Liberal","Grupul parlamentar al Partidului Național Liberal"
"Valerian Vreme","2013-05-14","Grupul parlamentar al Partidului Democrat Liberal","Deputați neafiliați"
"Valerian Vreme","2015-01-07","Deputați neafiliați","Grupul parlamentar al Partidului Social Democrat"
